#####################################################################
# Alchemist log file - simulation started at: 2023-05-12T11:33+0000 #
#####################################################################
#
# device_count = 10.0, battery_discharge_time = 6, low_battery_threshold = 0.0, high_battery_threshold = 70, epi_ratio = 30, cloud_epi = 30, seed = 1.0
#
# The columns have the following meaning: 
# time behaviourInDevice[sum] behaviourInCloud[sum] batteryPercentage[mean] batteryConsumption[sum] cloudConsumption[sum] totalConsumption[sum] isCharging[sum] cloudCost instances 
0.0000 10.000 0.0000 100.00 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 10.000 0.0000 100.00 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
120.01 10.000 0.0000 58.943 39.837 0.0000 39.839 0.0000 0.0000 0.0000
240.01 10.000 0.0000 58.040 40.645 0.0000 40.148 0.0000 0.0000 0.0000
360.01 10.000 0.0000 57.139 40.497 0.0000 40.732 0.0000 0.0000 0.0000
480.01 10.000 0.0000 56.237 39.995 0.0000 39.697 0.0000 0.0000 0.0000
600.01 10.000 0.0000 55.334 40.808 0.0000 40.720 0.0000 0.0000 0.0000
720.01 10.000 0.0000 54.428 40.184 0.0000 39.803 0.0000 0.0000 0.0000
840.01 10.000 0.0000 53.523 40.093 0.0000 39.930 0.0000 0.0000 0.0000
960.01 10.000 0.0000 52.620 40.054 0.0000 40.609 0.0000 0.0000 0.0000
1080.0 10.000 0.0000 51.718 40.437 0.0000 41.155 0.0000 0.0000 0.0000
1200.0 10.000 0.0000 50.817 39.485 0.0000 39.179 0.0000 0.0000 0.0000
1320.0 10.000 0.0000 49.911 41.566 0.0000 40.729 0.0000 0.0000 0.0000
1440.0 10.000 0.0000 49.008 40.697 0.0000 40.673 0.0000 0.0000 0.0000
1560.0 10.000 0.0000 48.106 40.467 0.0000 40.385 0.0000 0.0000 0.0000
1680.0 10.000 0.0000 47.202 39.786 0.0000 39.459 0.0000 0.0000 0.0000
1800.0 10.000 0.0000 46.301 39.869 0.0000 40.338 0.0000 0.0000 0.0000
1920.0 10.000 0.0000 45.397 39.772 0.0000 40.629 0.0000 0.0000 0.0000
2040.0 10.000 0.0000 44.496 40.883 0.0000 40.481 0.0000 0.0000 0.0000
2160.0 10.000 0.0000 43.596 40.830 0.0000 40.248 0.0000 0.0000 0.0000
2280.0 10.000 0.0000 42.695 39.604 0.0000 39.723 0.0000 0.0000 0.0000
2400.0 10.000 0.0000 41.791 39.105 0.0000 39.396 0.0000 0.0000 0.0000
2520.0 10.000 0.0000 40.890 39.955 0.0000 40.106 0.0000 0.0000 0.0000
2640.0 10.000 0.0000 39.985 40.371 0.0000 40.907 0.0000 0.0000 0.0000
2760.0 10.000 0.0000 39.080 41.167 0.0000 40.590 0.0000 0.0000 0.0000
2880.0 10.000 0.0000 38.179 39.848 0.0000 39.439 0.0000 0.0000 0.0000
3000.0 9.0000 0.0000 37.540 36.391 0.0000 36.779 1.0000 0.0000 0.0000
3120.0 9.0000 0.0000 37.061 37.187 0.0000 37.215 1.0000 0.0000 0.0000
3240.0 9.0000 0.0000 36.580 36.048 0.0000 36.273 1.0000 0.0000 0.0000
3360.0 9.0000 0.0000 36.103 37.406 0.0000 36.276 1.0000 0.0000 0.0000
3480.0 9.0000 0.0000 35.624 36.675 0.0000 35.835 1.0000 0.0000 0.0000
3600.0 9.0000 0.0000 35.147 36.097 0.0000 36.569 1.0000 0.0000 0.0000
3720.0 7.0000 0.0000 35.094 27.685 0.0000 26.883 3.0000 0.0000 0.0000
3840.0 7.0000 0.0000 35.462 27.956 0.0000 27.985 3.0000 0.0000 0.0000
3960.0 7.0000 0.0000 35.831 27.678 0.0000 27.512 3.0000 0.0000 0.0000
4080.0 6.0000 0.0000 36.367 24.700 0.0000 24.432 4.0000 0.0000 0.0000
4200.0 6.0000 0.0000 37.161 23.524 0.0000 23.644 4.0000 0.0000 0.0000
4320.0 6.0000 0.0000 37.953 24.249 0.0000 24.086 4.0000 0.0000 0.0000
4440.0 6.0000 0.0000 38.747 23.823 0.0000 24.144 4.0000 0.0000 0.0000
4560.0 6.0000 0.0000 39.538 24.384 0.0000 24.608 4.0000 0.0000 0.0000
4680.0 6.0000 0.0000 40.328 24.483 0.0000 24.410 4.0000 0.0000 0.0000
4800.0 5.0000 0.0000 41.221 20.035 0.0000 20.472 5.0000 0.0000 0.0000
4920.0 5.0000 0.0000 42.436 19.872 0.0000 20.215 5.0000 0.0000 0.0000
5040.0 5.0000 0.0000 43.650 19.644 0.0000 20.136 5.0000 0.0000 0.0000
5160.0 5.0000 0.0000 44.865 20.223 0.0000 20.807 5.0000 0.0000 0.0000
5280.0 5.0000 0.0000 46.082 20.086 0.0000 19.995 5.0000 0.0000 0.0000
5400.0 5.0000 0.0000 47.298 19.700 0.0000 20.305 5.0000 0.0000 0.0000
5520.0 6.0000 0.0000 48.515 19.770 0.0000 19.417 5.0000 0.0000 0.0000
5640.0 6.0000 0.0000 49.732 19.518 0.0000 19.615 5.0000 0.0000 0.0000
5760.0 6.0000 0.0000 50.947 20.426 0.0000 20.032 5.0000 0.0000 0.0000
5880.0 6.0000 0.0000 52.162 19.805 0.0000 20.183 5.0000 0.0000 0.0000
6000.0 6.0000 0.0000 53.375 19.729 0.0000 19.244 5.0000 0.0000 0.0000
6120.0 7.0000 0.0000 54.581 19.917 0.0000 19.775 4.0000 0.0000 0.0000
6240.0 8.0000 0.0000 55.375 23.662 0.0000 24.365 4.0000 0.0000 0.0000
6360.0 7.0000 0.0000 56.166 24.487 0.0000 24.846 4.0000 0.0000 0.0000
6480.0 8.0000 0.0000 56.956 23.759 0.0000 23.955 4.0000 0.0000 0.0000
6600.0 9.0000 0.0000 57.746 24.455 0.0000 24.401 4.0000 0.0000 0.0000
6720.0 9.0000 0.0000 58.536 23.917 0.0000 24.320 4.0000 0.0000 0.0000
6840.0 9.0000 0.0000 59.330 24.661 0.0000 24.797 4.0000 0.0000 0.0000
6960.0 9.0000 0.0000 59.769 28.445 0.0000 28.082 3.0000 0.0000 0.0000
7080.0 9.0000 0.0000 60.136 28.184 0.0000 28.832 3.0000 0.0000 0.0000
7200.0 9.0000 0.0000 59.737 36.491 0.0000 36.627 1.0000 0.0000 0.0000
