#####################################################################
# Alchemist log file - simulation started at: 2023-05-14T08:03+0000 #
#####################################################################
#
# device_count = 100.0, battery_discharge_time = 24, low_battery_threshold = 30, high_battery_threshold = 100.0, epi_ratio = 3, cloud_epi = 300, seed = 2.0
#
# The columns have the following meaning: 
# time behaviourInDevice[sum] behaviourInCloud[sum] batteryPercentage[mean] batteryConsumption[sum] cloudConsumption[sum] totalConsumption[sum] isCharging[sum] cloudCost instances 
0.0000 100.00 0.0000 100.00 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 100.00 0.0000 100.00 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
120.00 85.000 15.000 54.336 93.478 34.805 128.28 0.0000 0.20000 1.0000
240.00 84.000 16.000 54.127 92.842 37.125 130.12 0.0000 0.20000 1.0000
360.00 84.000 16.000 53.918 93.134 37.125 130.02 0.0000 0.20000 1.0000
480.00 84.000 16.000 53.709 92.653 37.125 129.77 0.0000 0.20000 1.0000
600.00 84.000 16.000 53.500 92.699 37.125 130.57 0.0000 0.20000 1.0000
720.00 84.000 16.000 53.291 93.050 37.125 129.72 0.0000 0.20000 1.0000
840.00 84.000 16.000 53.082 92.982 37.125 130.31 0.0000 0.20000 1.0000
960.00 83.000 17.000 52.874 93.093 39.445 132.70 0.0000 0.20000 1.0000
1080.0 83.000 17.000 52.666 91.959 39.445 131.18 0.0000 0.20000 1.0000
1200.0 83.000 17.000 52.458 92.353 39.445 131.66 0.0000 0.20000 1.0000
1320.0 83.000 17.000 52.250 93.067 39.445 132.97 0.0000 0.20000 1.0000
1440.0 83.000 17.000 52.042 92.972 39.445 132.57 0.0000 0.20000 1.0000
1560.0 83.000 17.000 51.834 91.955 39.445 131.74 0.0000 0.20000 1.0000
1680.0 81.000 19.000 51.627 91.608 44.086 135.79 0.0000 0.20000 1.0000
1800.0 81.000 19.000 51.421 91.220 44.086 135.46 0.0000 0.20000 1.0000
1920.0 80.000 20.000 51.215 91.669 46.406 138.33 0.0000 0.20000 1.0000
2040.0 80.000 20.000 51.010 90.781 46.406 137.28 0.0000 0.20000 1.0000
2160.0 79.000 21.000 50.806 90.670 48.727 139.65 0.0000 0.20000 1.0000
2280.0 79.000 21.000 50.602 90.260 48.727 139.48 0.0000 0.20000 1.0000
2400.0 79.000 21.000 50.398 91.090 48.727 139.39 0.0000 0.20000 1.0000
2520.0 79.000 21.000 50.194 90.815 48.727 139.44 0.0000 0.20000 1.0000
2640.0 79.000 21.000 49.990 90.389 48.727 139.22 0.0000 0.20000 1.0000
2760.0 79.000 21.000 49.787 90.337 48.727 139.59 0.0000 0.20000 1.0000
2880.0 79.000 21.000 49.583 91.083 48.727 140.01 0.0000 0.20000 1.0000
3000.0 78.000 22.000 49.379 90.870 51.047 141.80 0.0000 0.20000 1.0000
3120.0 77.000 23.000 49.176 89.725 53.367 143.70 0.0000 0.20000 1.0000
3240.0 77.000 23.000 48.975 90.290 53.367 143.87 0.0000 0.20000 1.0000
3360.0 77.000 23.000 48.773 89.504 53.367 142.76 0.0000 0.20000 1.0000
3480.0 75.000 25.000 48.572 89.455 58.008 147.41 0.0000 0.20000 1.0000
3600.0 75.000 25.000 48.372 88.976 58.008 147.03 0.0000 0.20000 1.0000
3720.0 75.000 25.000 48.173 89.529 58.008 146.65 0.0000 0.20000 1.0000
3840.0 73.000 27.000 47.974 87.079 62.648 150.23 0.0000 0.20000 1.0000
3960.0 72.000 28.000 47.777 88.488 64.969 153.39 0.0000 0.20000 1.0000
4080.0 72.000 28.000 47.580 87.925 64.969 152.74 0.0000 0.20000 1.0000
4200.0 71.000 29.000 47.384 86.950 67.289 154.16 0.0000 0.20000 1.0000
4320.0 70.000 30.000 47.189 86.802 69.609 156.12 0.0000 0.20000 1.0000
4440.0 68.000 32.000 46.996 85.928 74.250 160.17 0.0000 0.20000 1.0000
4560.0 67.000 33.000 46.804 85.033 76.570 161.53 0.0000 0.20000 1.0000
4680.0 67.000 33.000 46.613 85.001 76.570 161.85 0.0000 0.20000 1.0000
4800.0 67.000 33.000 46.421 84.882 76.570 161.75 0.0000 0.20000 1.0000
4920.0 67.000 33.000 46.230 85.601 76.570 162.29 0.0000 0.20000 1.0000
5040.0 67.000 33.000 46.039 85.913 76.570 161.97 0.0000 0.20000 1.0000
5160.0 67.000 33.000 45.847 85.130 76.570 161.80 0.0000 0.20000 1.0000
5280.0 67.000 33.000 45.656 84.732 76.570 161.46 0.0000 0.20000 1.0000
5400.0 66.000 34.000 45.465 85.311 78.891 163.09 0.0000 0.20000 1.0000
5520.0 66.000 34.000 45.275 84.651 78.891 163.60 0.0000 0.20000 1.0000
5640.0 66.000 34.000 45.085 85.680 78.891 164.32 0.0000 0.20000 1.0000
5760.0 66.000 34.000 44.894 85.187 78.891 164.33 0.0000 0.20000 1.0000
5880.0 66.000 34.000 44.704 84.926 78.891 163.79 0.0000 0.20000 1.0000
6000.0 66.000 34.000 44.514 84.667 78.891 163.46 0.0000 0.20000 1.0000
6120.0 66.000 34.000 44.323 84.787 78.891 163.65 0.0000 0.20000 1.0000
6240.0 66.000 34.000 44.133 84.719 78.891 163.64 0.0000 0.20000 1.0000
6360.0 66.000 34.000 43.943 84.705 78.891 163.66 0.0000 0.20000 1.0000
6480.0 66.000 34.000 43.753 84.208 78.891 162.47 0.0000 0.20000 1.0000
6600.0 65.000 35.000 43.563 84.454 81.211 165.56 0.0000 0.20000 1.0000
6720.0 64.000 36.000 43.374 83.403 83.531 166.85 0.0000 0.20000 1.0000
6840.0 64.000 36.000 43.186 83.457 83.531 167.34 0.0000 0.20000 1.0000
6960.0 63.000 37.000 42.998 83.033 85.852 169.70 0.0000 0.20000 1.0000
7080.0 63.000 37.000 42.810 83.004 85.852 169.17 0.0000 0.20000 1.0000
7200.0 62.000 38.000 42.624 82.589 88.172 170.95 0.0000 0.20000 1.0000
7320.0 62.000 38.000 42.438 83.214 88.172 171.22 0.0000 0.20000 1.0000
7440.0 62.000 38.000 42.252 83.126 88.172 170.99 0.0000 0.20000 1.0000
7560.0 61.000 39.000 42.066 82.584 90.492 173.37 0.0000 0.20000 1.0000
7680.0 60.000 39.000 41.900 81.374 90.492 171.17 1.0000 0.20000 1.0000
