#####################################################################
# Alchemist log file - simulation started at: 2023-05-09T09:33+0000 #
#####################################################################
#
# device_count = 100.0, battery_discharge_time = 3, epi_ratio = 10, cloud_epi = 100, low_battery_threshold = 20.0, high_battery_threshold = 80.0, seed = 0.0
#
# The columns have the following meaning: 
# time behaviourInDevice[sum] behaviourInCloud[sum] batteryPercentage[mean] batteryConsumption[sum] cloudConsumption[sum] totalConsumption[sum] isCharging[sum] cloudCost instances 
0.0000 100.00 0.0000 100.00 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 100.00 0.0000 100.00 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
120.00 85.000 15.000 54.288 210.37 371.25 581.63 0.0000 0.40000 2.0000
240.00 85.000 15.000 53.815 210.37 371.25 581.63 0.0000 0.40000 2.0000
360.00 83.000 17.000 53.349 205.42 420.75 626.18 0.0000 0.60000 3.0000
480.00 83.000 17.000 52.888 205.42 420.75 626.18 0.0000 0.60000 3.0000
600.00 83.000 17.000 52.427 205.42 420.75 626.18 0.0000 0.60000 3.0000
720.00 83.000 17.000 51.966 205.42 420.75 626.18 0.0000 0.60000 3.0000
840.00 82.000 18.000 51.510 202.95 445.50 648.45 0.0000 0.60000 3.0000
960.00 82.000 18.000 51.054 202.95 445.50 648.45 0.0000 0.60000 3.0000
1080.0 80.000 20.000 50.604 198.00 495.00 693.00 0.0000 0.60000 3.0000
1200.0 79.000 21.000 50.162 195.52 519.75 715.28 0.0000 0.60000 3.0000
1320.0 79.000 21.000 49.724 195.52 519.75 715.28 0.0000 0.60000 3.0000
1440.0 79.000 21.000 49.285 195.52 519.75 715.28 0.0000 0.60000 3.0000
1560.0 79.000 21.000 48.846 195.52 519.75 715.28 0.0000 0.60000 3.0000
1680.0 79.000 21.000 48.407 195.52 519.75 715.28 0.0000 0.60000 3.0000
1800.0 79.000 21.000 47.968 195.52 519.75 715.28 0.0000 0.60000 3.0000
1920.0 78.000 22.000 47.535 193.05 544.50 737.55 0.0000 0.60000 3.0000
2040.0 78.000 22.000 47.101 193.05 544.50 737.55 0.0000 0.60000 3.0000
2160.0 77.000 23.000 46.673 190.57 569.25 759.83 0.0000 0.60000 3.0000
2280.0 77.000 23.000 46.245 190.57 569.25 759.83 0.0000 0.60000 3.0000
2400.0 77.000 23.000 45.818 190.57 569.25 759.83 0.0000 0.60000 3.0000
2520.0 75.000 25.000 45.394 185.62 618.75 804.38 0.0000 0.80000 4.0000
2640.0 75.000 25.000 44.977 185.62 618.75 804.38 0.0000 0.80000 4.0000
2760.0 73.000 27.000 44.568 180.67 668.25 848.93 0.0000 0.80000 4.0000
2880.0 73.000 27.000 44.163 180.67 668.25 848.93 0.0000 0.80000 4.0000
3000.0 72.000 28.000 43.757 178.20 693.00 871.20 0.0000 0.80000 4.0000
3120.0 71.000 29.000 43.358 175.72 717.75 893.48 0.0000 0.80000 4.0000
3240.0 71.000 29.000 42.963 175.72 717.75 893.48 0.0000 0.80000 4.0000
3360.0 70.000 30.000 42.571 173.25 742.50 915.75 0.0000 0.80000 4.0000
3480.0 70.000 30.000 42.182 173.25 742.50 915.75 0.0000 0.80000 4.0000
3600.0 69.000 31.000 41.797 170.77 767.25 938.03 0.0000 0.80000 4.0000
3720.0 69.000 31.000 41.414 170.77 767.25 938.03 0.0000 0.80000 4.0000
3840.0 68.000 32.000 41.032 168.30 792.00 960.30 0.0000 0.80000 4.0000
3960.0 67.000 33.000 40.658 165.82 816.75 982.58 0.0000 1.0000 5.0000
4080.0 66.000 34.000 40.286 163.35 841.50 1004.9 0.0000 1.0000 5.0000
4200.0 66.000 34.000 39.919 163.35 841.50 1004.9 0.0000 1.0000 5.0000
4320.0 66.000 34.000 39.552 163.35 841.50 1004.9 0.0000 1.0000 5.0000
4440.0 66.000 34.000 39.186 163.35 841.50 1004.9 0.0000 1.0000 5.0000
4560.0 65.000 35.000 38.823 160.87 866.25 1027.1 0.0000 1.0000 5.0000
4680.0 64.000 36.000 38.463 158.40 891.00 1049.4 0.0000 1.0000 5.0000
4800.0 64.000 36.000 38.108 158.40 891.00 1049.4 0.0000 1.0000 5.0000
4920.0 62.000 38.000 37.758 153.45 940.50 1094.0 0.0000 1.0000 5.0000
5040.0 62.000 38.000 37.414 153.45 940.50 1094.0 0.0000 1.0000 5.0000
5160.0 62.000 38.000 37.069 153.45 940.50 1094.0 0.0000 1.0000 5.0000
5280.0 61.000 39.000 36.728 150.97 965.25 1116.2 0.0000 1.0000 5.0000
5400.0 60.000 40.000 36.391 148.50 990.00 1138.5 0.0000 1.0000 5.0000
5520.0 59.000 41.000 36.060 146.02 1014.8 1160.8 0.0000 1.2000 6.0000
5640.0 59.000 41.000 35.732 146.02 1014.8 1160.8 0.0000 1.2000 6.0000
5760.0 59.000 41.000 35.404 146.02 1014.8 1160.8 0.0000 1.2000 6.0000
5880.0 59.000 41.000 35.076 146.02 1014.8 1160.8 0.0000 1.2000 6.0000
6000.0 58.000 42.000 34.753 143.55 1039.5 1183.1 0.0000 1.2000 6.0000
6120.0 57.000 43.000 34.434 141.07 1064.3 1205.3 0.0000 1.2000 6.0000
6240.0 57.000 43.000 34.117 141.07 1064.3 1205.3 0.0000 1.2000 6.0000
6360.0 56.000 44.000 33.802 138.60 1089.0 1227.6 0.0000 1.2000 6.0000
6480.0 56.000 44.000 33.491 138.60 1089.0 1227.6 0.0000 1.2000 6.0000
6600.0 54.000 46.000 33.188 133.65 1138.5 1272.1 0.0000 1.2000 6.0000
6720.0 53.000 47.000 32.889 131.17 1163.3 1294.4 0.0000 1.2000 6.0000
6840.0 53.000 47.000 32.595 131.17 1163.3 1294.4 0.0000 1.2000 6.0000
6960.0 51.000 49.000 32.306 126.22 1212.8 1339.0 0.0000 1.4000 7.0000
7080.0 51.000 49.000 32.022 126.22 1212.8 1339.0 0.0000 1.4000 7.0000
7200.0 50.000 50.000 31.740 123.75 1237.5 1361.2 0.0000 1.4000 7.0000
7320.0 50.000 50.000 31.462 123.75 1237.5 1361.2 0.0000 1.4000 7.0000
7440.0 50.000 50.000 31.185 123.75 1237.5 1361.2 0.0000 1.4000 7.0000
7560.0 49.000 51.000 30.912 121.27 1262.3 1383.5 0.0000 1.4000 7.0000
