#####################################################################
# Alchemist log file - simulation started at: 2023-05-14T10:57+0000 #
#####################################################################
#
# device_count = 100.0, battery_discharge_time = 3, low_battery_threshold = 30, high_battery_threshold = 70, epi_ratio = 3, cloud_epi = 30, seed = 3.0
#
# The columns have the following meaning: 
# time behaviourInDevice[sum] behaviourInCloud[sum] batteryPercentage[mean] batteryConsumption[sum] cloudConsumption[sum] totalConsumption[sum] isCharging[sum] cloudCost instances 
0.0000 100.00 0.0000 100.00 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 100.00 0.0000 100.00 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
120.00 81.000 19.000 55.931 734.19 352.69 1086.3 0.0000 0.40000 2.0000
240.00 80.000 20.000 54.291 729.95 371.25 1101.6 0.0000 0.40000 2.0000
360.00 78.000 22.000 52.657 725.44 408.37 1131.3 0.0000 0.60000 3.0000
480.00 74.000 26.000 51.050 709.88 482.62 1191.3 0.0000 0.60000 3.0000
600.00 73.000 27.000 49.462 707.34 501.19 1210.4 0.0000 0.60000 3.0000
720.00 71.000 29.000 47.888 699.04 538.31 1234.9 0.0000 0.60000 3.0000
840.00 70.000 30.000 46.330 689.91 556.87 1247.1 0.0000 0.60000 3.0000
960.00 67.000 33.000 44.785 684.68 612.56 1293.7 0.0000 0.80000 4.0000
1080.0 63.000 37.000 43.269 665.99 686.81 1350.3 0.0000 0.80000 4.0000
1200.0 61.000 39.000 41.777 657.17 723.94 1381.8 0.0000 0.80000 4.0000
1320.0 58.000 42.000 40.295 648.44 779.62 1428.9 0.0000 0.80000 4.0000
1440.0 56.000 44.000 38.846 635.58 798.19 1437.0 1.0000 0.80000 4.0000
1560.0 54.000 45.000 37.460 629.69 835.31 1461.4 1.0000 1.0000 5.0000
1680.0 53.000 44.000 36.167 613.03 816.75 1435.4 3.0000 1.0000 5.0000
1800.0 52.000 43.000 34.927 601.93 798.19 1403.4 5.0000 0.80000 4.0000
1920.0 50.000 43.000 33.784 589.52 798.19 1386.2 7.0000 0.80000 4.0000
2040.0 48.000 45.000 32.702 581.19 835.31 1412.6 7.0000 1.0000 5.0000
2160.0 45.000 48.000 31.648 569.85 891.00 1459.7 7.0000 1.0000 5.0000
2280.0 44.000 48.000 30.641 566.90 891.00 1459.0 8.0000 1.0000 5.0000
2400.0 41.000 51.000 29.659 550.04 946.69 1494.7 8.0000 1.0000 5.0000
2520.0 41.000 51.000 28.690 550.28 946.69 1494.9 8.0000 1.0000 5.0000
2640.0 37.000 51.000 27.838 516.54 946.69 1464.8 12.000 1.0000 5.0000
2760.0 34.000 53.000 27.086 501.67 983.81 1489.4 13.000 1.0000 5.0000
2880.0 31.000 53.000 26.455 485.08 983.81 1463.7 16.000 1.0000 5.0000
3000.0 31.000 52.000 25.948 473.93 965.25 1442.0 17.000 1.0000 5.0000
3120.0 27.000 56.000 25.469 457.41 1039.5 1496.3 17.000 1.2000 6.0000
3240.0 25.000 58.000 25.017 455.74 1076.6 1530.2 17.000 1.2000 6.0000
3360.0 24.000 59.000 24.575 452.09 1095.2 1544.0 17.000 1.2000 6.0000
3480.0 21.000 62.000 24.147 439.54 1150.9 1587.3 17.000 1.2000 6.0000
3600.0 19.000 63.000 23.774 431.25 1169.4 1597.7 18.000 1.2000 6.0000
3720.0 18.000 62.000 23.447 406.34 1150.9 1556.6 20.000 1.2000 6.0000
3840.0 16.000 63.000 23.217 403.76 1169.4 1571.7 21.000 1.2000 6.0000
3960.0 14.000 65.000 23.071 383.61 1206.6 1587.9 22.000 1.4000 7.0000
4080.0 12.000 66.000 23.033 362.52 1225.1 1587.2 25.000 1.4000 7.0000
4200.0 12.000 61.000 23.126 344.28 1132.3 1480.4 29.000 1.2000 6.0000
4320.0 14.000 61.000 23.336 334.18 1132.3 1470.6 30.000 1.2000 6.0000
4440.0 10.000 65.000 23.636 313.45 1206.6 1516.2 31.000 1.4000 7.0000
4560.0 8.0000 62.000 24.071 285.38 1150.9 1437.8 36.000 1.2000 6.0000
4680.0 7.0000 61.000 24.692 286.71 1132.3 1415.2 37.000 1.2000 6.0000
4800.0 8.0000 59.000 25.355 272.58 1095.2 1367.0 39.000 1.2000 6.0000
4920.0 8.0000 56.000 26.081 266.64 1039.5 1304.2 41.000 1.2000 6.0000
5040.0 10.000 55.000 26.857 271.73 1020.9 1289.2 41.000 1.2000 6.0000
5160.0 12.000 54.000 27.636 266.55 1002.4 1267.0 43.000 1.2000 6.0000
5280.0 13.000 52.000 28.477 276.01 965.25 1237.2 42.000 1.0000 5.0000
5400.0 15.000 52.000 29.262 276.92 965.25 1239.5 42.000 1.0000 5.0000
5520.0 17.000 50.000 30.026 285.12 928.12 1210.4 42.000 1.0000 5.0000
5640.0 17.000 48.000 30.812 275.72 891.00 1162.3 44.000 1.0000 5.0000
5760.0 17.000 46.000 31.698 273.66 853.87 1124.3 45.000 1.0000 5.0000
5880.0 17.000 45.000 32.624 276.59 835.31 1111.1 45.000 1.0000 5.0000
6000.0 17.000 43.000 33.525 278.05 798.19 1073.8 46.000 0.80000 4.0000
6120.0 18.000 40.000 34.427 287.91 742.50 1028.2 46.000 0.80000 4.0000
6240.0 19.000 37.000 35.382 280.90 686.81 962.64 48.000 0.80000 4.0000
6360.0 20.000 36.000 36.304 290.67 668.25 957.38 47.000 0.80000 4.0000
6480.0 20.000 33.000 37.267 289.80 612.56 903.37 49.000 0.80000 4.0000
6600.0 25.000 31.000 38.317 278.36 575.44 853.33 51.000 0.60000 3.0000
6720.0 28.000 30.000 39.382 283.27 556.87 840.63 51.000 0.60000 3.0000
6840.0 29.000 29.000 40.437 287.56 538.31 826.99 51.000 0.60000 3.0000
6960.0 32.000 28.000 41.413 303.78 519.75 823.21 49.000 0.60000 3.0000
7080.0 32.000 27.000 42.294 320.93 482.62 803.11 49.000 0.60000 3.0000
7200.0 35.000 21.000 43.263 300.49 389.81 691.55 53.000 0.40000 2.0000
7320.0 36.000 19.000 44.419 296.74 352.69 648.95 55.000 0.40000 2.0000
7440.0 38.000 19.000 45.569 300.75 352.69 655.10 54.000 0.40000 2.0000
7560.0 39.000 19.000 46.608 325.81 352.69 675.49 51.000 0.40000 2.0000
