#####################################################################
# Alchemist log file - simulation started at: 2023-05-10T13:22+0000 #
#####################################################################
#
# device_count = 1000.0, battery_discharge_time = 3, low_battery_threshold = 0.0, high_battery_threshold = 70.0, epi_ratio = 30, cloud_epi = 3, seed = 0.0
#
# The columns have the following meaning: 
# time behaviourInDevice[sum] behaviourInCloud[sum] batteryPercentage[mean] batteryConsumption[sum] cloudConsumption[sum] totalConsumption[sum] isCharging[sum] cloudCost instances 
0.0000 1000.0 0.0000 100.00 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 1000.0 0.0000 100.00 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
120.00 1000.0 0.0000 54.636 4949.1 0.0000 4949.1 0.0000 0.0000 0.0000
240.00 1000.0 0.0000 53.525 4949.1 0.0000 4949.1 0.0000 0.0000 0.0000
360.00 1000.0 0.0000 52.414 4949.1 0.0000 4949.1 0.0000 0.0000 0.0000
480.00 1000.0 0.0000 51.303 4949.1 0.0000 4949.1 0.0000 0.0000 0.0000
600.00 1000.0 0.0000 50.192 4949.1 0.0000 4949.1 0.0000 0.0000 0.0000
720.00 1000.0 0.0000 49.081 4949.1 0.0000 4949.1 0.0000 0.0000 0.0000
840.00 1000.0 0.0000 47.971 4944.1 0.0000 4944.2 1.0000 0.0000 0.0000
960.00 1000.0 0.0000 46.870 4934.3 0.0000 4934.3 3.0000 0.0000 0.0000
1080.0 1000.0 0.0000 45.772 4934.3 0.0000 4934.2 3.0000 0.0000 0.0000
1200.0 1000.0 0.0000 44.710 4855.1 0.0000 4855.1 19.000 0.0000 0.0000
1320.0 1000.0 0.0000 43.710 4795.7 0.0000 4795.7 31.000 0.0000 0.0000
1440.0 1000.0 0.0000 42.772 4726.4 0.0000 4726.4 45.000 0.0000 0.0000
1560.0 1000.0 0.0000 41.901 4657.1 0.0000 4657.1 59.000 0.0000 0.0000
1680.0 1000.0 0.0000 41.071 4617.5 0.0000 4617.5 67.000 0.0000 0.0000
1800.0 1000.0 0.0000 40.289 4538.3 0.0000 4538.3 83.000 0.0000 0.0000
1920.0 1000.0 0.0000 39.561 4488.8 0.0000 4488.8 93.000 0.0000 0.0000
2040.0 1000.0 0.0000 38.888 4429.4 0.0000 4429.5 105.00 0.0000 0.0000
2160.0 1000.0 0.0000 38.268 4375.0 0.0000 4375.0 117.00 0.0000 0.0000
2280.0 1000.0 0.0000 37.703 4305.7 0.0000 4305.7 130.00 0.0000 0.0000
2400.0 1000.0 0.0000 37.191 4256.2 0.0000 4256.2 140.00 0.0000 0.0000
2520.0 1000.0 0.0000 36.720 4211.7 0.0000 4211.7 149.00 0.0000 0.0000
2640.0 1000.0 0.0000 36.291 4162.2 0.0000 4162.2 159.00 0.0000 0.0000
2760.0 1000.0 0.0000 35.919 4088.0 0.0000 4088.0 175.00 0.0000 0.0000
2880.0 1000.0 0.0000 35.604 4038.5 0.0000 4038.5 184.00 0.0000 0.0000
3000.0 1000.0 0.0000 35.337 3979.1 0.0000 3979.1 196.00 0.0000 0.0000
3120.0 1000.0 0.0000 35.139 3904.8 0.0000 3904.8 212.00 0.0000 0.0000
3240.0 1000.0 0.0000 35.009 3810.8 0.0000 3810.8 230.00 0.0000 0.0000
3360.0 1000.0 0.0000 34.939 3761.3 0.0000 3761.3 240.00 0.0000 0.0000
3480.0 1000.0 0.0000 34.917 3711.8 0.0000 3711.8 250.00 0.0000 0.0000
3600.0 1000.0 0.0000 34.936 3662.3 0.0000 3662.3 260.00 0.0000 0.0000
3720.0 1000.0 0.0000 34.998 3607.9 0.0000 3607.9 272.00 0.0000 0.0000
3840.0 1000.0 0.0000 35.106 3588.1 0.0000 3588.1 275.00 0.0000 0.0000
3960.0 1000.0 0.0000 35.250 3518.8 0.0000 3518.8 289.00 0.0000 0.0000
4080.0 1000.0 0.0000 35.445 3464.4 0.0000 3464.4 300.00 0.0000 0.0000
4200.0 1000.0 0.0000 35.691 3434.7 0.0000 3434.7 306.00 0.0000 0.0000
4320.0 1000.0 0.0000 35.954 3400.0 0.0000 3400.0 314.00 0.0000 0.0000
4440.0 1000.0 0.0000 36.252 3370.3 0.0000 3370.3 319.00 0.0000 0.0000
4560.0 1000.0 0.0000 36.553 3385.2 0.0000 3385.2 316.00 0.0000 0.0000
4680.0 1000.0 0.0000 36.847 3395.1 0.0000 3395.1 313.00 0.0000 0.0000
4800.0 1000.0 0.0000 37.107 3434.7 0.0000 3434.7 306.00 0.0000 0.0000
4920.0 1000.0 0.0000 37.350 3449.5 0.0000 3449.5 302.00 0.0000 0.0000
5040.0 1000.0 0.0000 37.587 3444.6 0.0000 3444.6 305.00 0.0000 0.0000
5160.0 1000.0 0.0000 37.829 3454.5 0.0000 3444.6 302.00 0.0000 0.0000
5280.0 1000.0 0.0000 38.069 3414.9 0.0000 3414.9 310.00 0.0000 0.0000
5400.0 1000.0 0.0000 38.349 3380.2 0.0000 3380.2 317.00 0.0000 0.0000
5520.0 1000.0 0.0000 38.651 3380.2 0.0000 3385.2 317.00 0.0000 0.0000
5640.0 1000.0 0.0000 38.949 3365.4 0.0000 3365.4 320.00 0.0000 0.0000
5760.0 1000.0 0.0000 39.252 3375.3 0.0000 3375.3 318.00 0.0000 0.0000
5880.0 1000.0 0.0000 39.561 3345.6 0.0000 3350.5 324.00 0.0000 0.0000
6000.0 1000.0 0.0000 39.891 3350.5 0.0000 3350.5 323.00 0.0000 0.0000
6120.0 1000.0 0.0000 40.199 3385.2 0.0000 3385.2 317.00 0.0000 0.0000
6240.0 1000.0 0.0000 40.517 3345.6 0.0000 3345.6 324.00 0.0000 0.0000
6360.0 1000.0 0.0000 40.837 3375.3 0.0000 3375.3 318.00 0.0000 0.0000
6480.0 1000.0 0.0000 41.160 3330.7 0.0000 3330.7 327.00 0.0000 0.0000
6600.0 1000.0 0.0000 41.492 3355.5 0.0000 3350.5 321.00 0.0000 0.0000
6720.0 1000.0 0.0000 41.788 3395.1 0.0000 3395.1 314.00 0.0000 0.0000
6840.0 1000.0 0.0000 42.090 3370.3 0.0000 3370.3 319.00 0.0000 0.0000
6960.0 1000.0 0.0000 42.407 3360.4 0.0000 3360.4 321.00 0.0000 0.0000
