#####################################################################
# Alchemist log file - simulation started at: 2023-05-16T00:48+0000 #
#####################################################################
#
# device_count = 300, battery_discharge_time = 6, balance = [40, 80], epi_ratio = 3, cloud_epi = 300, seed = 3.0
#
# The columns have the following meaning: 
# time behaviourInDevice[sum] behaviourInCloud[sum] batteryPercentage[mean] batteryConsumption[sum] cloudConsumption[sum] totalConsumption[sum] isCharging[sum] isMoving[sum] distance[sum] distance[mean] cloudCost instances 
0.0000 300.0 0.0 100.00 0.0000 0.0000 0.0000 0.0 300.0 0.0000 0.0000 0.0000 0.0000
0.0000 300.0 0.0 100.00 0.0000 0.0000 0.0000 0.0 300.0 0.0000 0.0000 0.0000 0.0000
120.00 205.0 95.0 54.888 1027.1 881.72 1914.2 0.0 300.0 49.941 0.16647 1.0000 5.0000
240.00 204.0 96.0 54.117 1034.3 891.00 1921.7 0.0 300.0 99.300 0.33100 1.0000 5.0000
360.00 200.0 100.0 53.351 1021.6 928.13 1949.7 0.0 300.0 146.88 0.48959 1.0000 5.0000
480.00 196.0 104.0 52.588 1008.7 965.25 1980.6 0.0 300.0 192.14 0.64045 1.0000 5.0000
600.00 195.0 105.0 51.830 1007.7 974.53 1982.9 0.0 300.0 235.82 0.78605 1.0000 5.0000
720.00 190.0 110.0 51.078 997.16 1020.9 2025.3 0.0 300.0 276.58 0.92195 1.2000 6.0000
840.00 189.0 111.0 50.327 998.73 1030.2 2031.3 0.0 300.0 315.55 1.0518 1.2000 6.0000
960.00 185.0 115.0 49.582 1000.1 1067.3 2067.5 0.0 300.0 351.43 1.1714 1.2000 6.0000
1080.0 181.0 119.0 48.840 989.93 1104.5 2091.7 0.0 300.0 385.50 1.2850 1.2000 6.0000
1200.0 179.0 121.0 48.104 978.99 1123.0 2104.4 0.0 300.0 418.04 1.3935 1.2000 6.0000
1320.0 176.0 124.0 47.371 972.99 1150.9 2127.6 0.0 300.0 448.92 1.4964 1.2000 6.0000
1440.0 174.0 126.0 46.642 970.86 1169.4 2140.7 0.0 300.0 479.29 1.5976 1.2000 6.0000
1560.0 169.0 131.0 45.918 967.13 1215.8 2180.9 0.0 300.0 509.59 1.6986 1.4000 7.0000
