#####################################################################
# Alchemist log file - simulation started at: 2023-05-09T08:04+0000 #
#####################################################################
#
# device_count = 31.622776601683796, battery_discharge_time = 1.5, epi_ratio = 10, cloud_epi = 200, low_battery_threshold = 40.0, high_battery_threshold = 60.0, seed = 0.0
#
# The columns have the following meaning: 
# time behaviourInDevice[sum] behaviourInCloud[sum] batteryPercentage[mean] batteryConsumption[sum] cloudConsumption[sum] totalConsumption[sum] isCharging[sum] cloudCost instances 
0.0000 31.000 0.0000 100.00 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 31.000 0.0000 100.00 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
120.00 18.000 13.000 55.436 89.100 643.50 732.60 0.0000 0.80000 4.0000
240.00 18.000 13.000 54.791 89.100 643.50 732.60 0.0000 0.80000 4.0000
360.00 18.000 13.000 54.146 89.100 643.50 732.60 0.0000 0.80000 4.0000
480.00 18.000 13.000 53.500 89.100 643.50 732.60 0.0000 0.80000 4.0000
600.00 18.000 13.000 52.855 89.100 643.50 732.60 0.0000 0.80000 4.0000
720.00 18.000 13.000 52.210 89.100 643.50 732.60 0.0000 0.80000 4.0000
840.00 18.000 13.000 51.565 89.100 643.50 732.60 0.0000 0.80000 4.0000
960.00 17.000 14.000 50.936 84.150 693.00 777.15 0.0000 0.80000 4.0000
1080.0 17.000 14.000 50.327 84.150 693.00 777.15 0.0000 0.80000 4.0000
1200.0 16.000 15.000 49.729 79.200 742.50 821.70 0.0000 0.80000 4.0000
1320.0 16.000 15.000 49.156 79.200 742.50 821.70 0.0000 0.80000 4.0000
1440.0 16.000 15.000 48.582 79.200 742.50 821.70 0.0000 0.80000 4.0000
1560.0 15.000 16.000 48.036 74.250 792.00 866.25 0.0000 0.80000 4.0000
1680.0 15.000 16.000 47.499 74.250 792.00 866.25 0.0000 0.80000 4.0000
1800.0 14.000 17.000 46.981 69.300 841.50 910.80 0.0000 1.0000 5.0000
1920.0 14.000 17.000 46.479 69.300 841.50 910.80 0.0000 1.0000 5.0000
2040.0 14.000 17.000 45.978 69.300 841.50 910.80 0.0000 1.0000 5.0000
2160.0 14.000 17.000 45.476 69.300 841.50 910.80 0.0000 1.0000 5.0000
2280.0 14.000 17.000 44.974 69.300 841.50 910.80 0.0000 1.0000 5.0000
2400.0 14.000 17.000 44.472 69.300 841.50 910.80 0.0000 1.0000 5.0000
2520.0 14.000 17.000 43.971 69.300 841.50 910.80 0.0000 1.0000 5.0000
