#####################################################################
# Alchemist log file - simulation started at: 2023-05-11T14:34+0000 #
#####################################################################
#
# device_count = 31.622776601683796, battery_discharge_time = 3, low_battery_threshold = 0.0, high_battery_threshold = 100.0, epi_ratio = 3, cloud_epi = 3, seed = 1.0
#
# The columns have the following meaning: 
# time behaviourInDevice[sum] behaviourInCloud[sum] batteryPercentage[mean] batteryConsumption[sum] cloudConsumption[sum] totalConsumption[sum] isCharging[sum] cloudCost instances 
0.0000 31.000 0.0000 100.00 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 31.000 0.0000 100.00 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
120.01 31.000 0.0000 49.982 125.40 0.0000 125.48 0.0000 0.0000 0.0000
240.01 31.000 0.0000 49.079 123.80 0.0000 125.63 0.0000 0.0000 0.0000
360.01 31.000 0.0000 48.176 125.32 0.0000 124.76 0.0000 0.0000 0.0000
480.01 31.000 0.0000 47.270 126.44 0.0000 124.94 0.0000 0.0000 0.0000
600.01 31.000 0.0000 46.368 124.49 0.0000 125.70 0.0000 0.0000 0.0000
720.01 31.000 0.0000 45.467 125.03 0.0000 124.10 0.0000 0.0000 0.0000
840.01 31.000 0.0000 44.565 125.21 0.0000 126.29 0.0000 0.0000 0.0000
960.01 31.000 0.0000 43.663 123.48 0.0000 124.84 0.0000 0.0000 0.0000
1080.0 31.000 0.0000 42.761 125.34 0.0000 124.80 0.0000 0.0000 0.0000
1200.0 31.000 0.0000 41.858 125.61 0.0000 124.59 0.0000 0.0000 0.0000
1320.0 31.000 0.0000 40.953 125.52 0.0000 126.37 0.0000 0.0000 0.0000
1440.0 31.000 0.0000 40.052 124.90 0.0000 123.59 0.0000 0.0000 0.0000
1560.0 31.000 0.0000 39.149 123.89 0.0000 123.95 0.0000 0.0000 0.0000
1680.0 31.000 0.0000 38.245 123.65 0.0000 125.01 0.0000 0.0000 0.0000
1800.0 31.000 0.0000 37.342 122.46 0.0000 124.10 0.0000 0.0000 0.0000
1920.0 30.000 0.0000 36.448 120.49 0.0000 118.85 1.0000 0.0000 0.0000
2040.0 30.000 0.0000 35.685 121.04 0.0000 119.76 1.0000 0.0000 0.0000
2160.0 30.000 0.0000 34.921 119.91 0.0000 119.13 1.0000 0.0000 0.0000
2280.0 30.000 0.0000 34.156 119.77 0.0000 120.10 1.0000 0.0000 0.0000
2400.0 30.000 0.0000 33.389 122.08 0.0000 121.98 1.0000 0.0000 0.0000
