#####################################################################
# Alchemist log file - simulation started at: 2023-05-15T02:58+0000 #
#####################################################################
#
# device_count = 31.622776601683796, battery_discharge_time = 6, low_battery_threshold = 30, high_battery_threshold = 100, epi_ratio = 3, cloud_epi = 300, seed = 1.0
#
# The columns have the following meaning: 
# time behaviourInDevice[sum] behaviourInCloud[sum] batteryPercentage[mean] batteryConsumption[sum] cloudConsumption[sum] totalConsumption[sum] isCharging[sum] isMoving[sum] distance[sum] distance[mean] cloudCost instances 
0.0000 31.0 0.0 100.00 0.0000 0.0000 0.0000 0.0 31.0 0.0000 0.0000 0.0000 0.0000
0.0000 31.0 0.0 100.00 0.0000 0.0000 0.0000 0.0 31.0 0.0000 0.0000 0.0000 0.0000
120.01 27.0 4.0 54.508 116.23 37.125 152.83 0.0 31.0 5.1625 0.16653 0.20000 1.0000
240.01 27.0 4.0 53.657 118.31 37.125 154.54 0.0 31.0 10.370 0.33453 0.20000 1.0000
360.01 27.0 4.0 52.810 116.21 37.125 154.37 0.0 31.0 15.578 0.50253 0.20000 1.0000
480.01 27.0 4.0 51.961 116.94 37.125 154.92 0.0 31.0 20.786 0.67053 0.20000 1.0000
600.01 26.0 5.0 51.115 113.76 46.406 161.28 0.0 31.0 25.994 0.83853 0.20000 1.0000
720.01 26.0 5.0 50.280 115.14 46.406 160.81 0.0 31.0 31.202 1.0065 0.20000 1.0000
840.01 25.0 6.0 49.449 113.12 55.688 169.75 0.0 31.0 36.410 1.1745 0.20000 1.0000
960.01 25.0 6.0 48.628 112.18 55.688 167.55 0.0 31.0 41.618 1.3425 0.20000 1.0000
1080.0 25.0 6.0 47.805 113.73 55.688 168.10 0.0 31.0 46.826 1.5105 0.20000 1.0000
1200.0 25.0 6.0 46.983 114.21 55.688 169.81 0.0 31.0 52.034 1.6785 0.20000 1.0000
1320.0 24.0 7.0 46.171 112.47 64.969 177.30 0.0 31.0 57.242 1.8465 0.20000 1.0000
1440.0 24.0 7.0 45.363 111.94 64.969 176.27 0.0 31.0 62.450 2.0145 0.20000 1.0000
1560.0 24.0 7.0 44.554 111.61 64.969 176.99 0.0 31.0 67.658 2.1825 0.20000 1.0000
1680.0 22.0 9.0 43.751 105.95 83.531 189.32 0.0 31.0 72.866 2.3505 0.20000 1.0000
1800.0 22.0 9.0 42.971 106.91 83.531 190.90 0.0 31.0 78.074 2.5185 0.20000 1.0000
1920.0 21.0 10.0 42.188 105.24 92.813 198.22 0.0 31.0 83.282 2.6865 0.20000 1.0000
2040.0 21.0 10.0 41.420 105.34 92.813 198.69 0.0 31.0 88.490 2.8545 0.20000 1.0000
2160.0 21.0 10.0 40.653 107.40 92.813 199.97 0.0 31.0 93.698 3.0225 0.20000 1.0000
2280.0 21.0 10.0 39.885 106.14 92.813 198.15 0.0 31.0 98.906 3.1905 0.20000 1.0000
2400.0 20.0 11.0 39.125 103.99 102.09 206.03 0.0 31.0 104.11 3.3585 0.20000 1.0000
2520.0 20.0 11.0 38.371 103.55 102.09 205.67 0.0 31.0 109.32 3.5265 0.20000 1.0000
2640.0 19.0 12.0 37.623 101.77 111.38 212.77 0.0 31.0 114.53 3.6945 0.20000 1.0000
2760.0 19.0 12.0 36.882 101.86 111.38 214.13 0.0 31.0 119.74 3.8625 0.20000 1.0000
2880.0 19.0 12.0 36.140 101.85 111.38 214.36 0.0 31.0 124.95 4.0305 0.20000 1.0000
3000.0 18.0 13.0 35.401 99.953 120.66 222.38 0.0 31.0 130.15 4.1985 0.20000 1.0000
3120.0 18.0 13.0 34.673 98.716 120.66 219.63 0.0 31.0 135.36 4.3665 0.20000 1.0000
3240.0 17.0 14.0 33.953 100.59 129.94 229.69 0.0 31.0 140.57 4.5345 0.20000 1.0000
3360.0 16.0 15.0 33.245 94.400 129.94 225.29 0.0 31.0 145.74 4.7012 0.20000 1.0000
3480.0 16.0 15.0 32.560 95.253 129.94 224.54 0.0 31.0 150.78 4.8638 0.20000 1.0000
